  Time (min)    V neg      V pos       Cur (A/m2)    Temp (C)   Heat Gen (W/m3)
  20.021334    0.273018    3.946792      0.0000     24.850000   1.4781819E+03
  20.023801    0.272317    3.947193      0.0000     24.850000   1.4640180E+03
  20.026514    0.271598    3.947616      0.0000     24.850000   1.4512606E+03
  20.029499    0.270860    3.948061      0.0000     24.850000   1.4399441E+03
  20.032782    0.270102    3.948531      0.0000     24.850000   1.4300985E+03
  20.036394    0.269323    3.949026      0.0000     24.850000   1.4217594E+03
  20.040367    0.268521    3.949547      0.0000     24.850000   1.4149554E+03
  20.044737    0.267695    3.950096      0.0000     24.850000   1.4097172E+03
  20.049544    0.266844    3.950673      0.0000     24.850000   1.4060658E+03
  20.054831    0.265967    3.951278      0.0000     24.850000   1.4040193E+03
  20.060648    0.265062    3.951913      0.0000     24.850000   1.4035818E+03
  20.067046    0.264128    3.952579      0.0000     24.850000   1.4047497E+03
  20.074084    0.263163    3.953275      0.0000     24.850000   1.4074996E+03
  20.081826    0.262167    3.954003      0.0000     24.850000   1.4117951E+03
  20.090341    0.261139    3.954761      0.0000     24.850000   1.4175746E+03
  20.099709    0.260075    3.955549      0.0000     24.850000   1.4247580E+03
  20.110013    0.258977    3.956368      0.0000     24.850000   1.4332356E+03
  20.121348    0.257842    3.957216      0.0000     24.850000   1.4428748E+03
  20.133816    0.256669    3.958092      0.0000     24.850000   1.4535107E+03
  20.147531    0.255457    3.958994      0.0000     24.850000   1.4649527E+03
  20.162617    0.254205    3.959922      0.0000     24.850000   1.4769774E+03
  20.179212    0.252913    3.960872      0.0000     24.850000   1.4893349E+03
  20.197467    0.251580    3.961844      0.0000     24.850000   1.5017434E+03
  20.217547    0.250206    3.962833      0.0000     24.850000   1.5138964E+03
  20.239635    0.248791    3.963838      0.0000     24.850000   1.5254586E+03
  20.263932    0.247337    3.964856      0.0000     24.850000   1.5360741E+03
  20.290658    0.245844    3.965884      0.0000     24.850000   1.5453639E+03
  20.320057    0.244317    3.966919      0.0000     24.850000   1.5529355E+03
  20.352397    0.242759    3.967959      0.0000     24.850000   1.5583821E+03
  20.387970    0.241176    3.969001      0.0000     24.850000   1.5612929E+03
  20.427100    0.239574    3.970042      0.0000     24.850000   1.5612532E+03
  20.470143    0.237962    3.971080      0.0000     24.850000   1.5578559E+03
  20.517491    0.236350    3.972111      0.0000     24.850000   1.5507022E+03
  20.569573    0.234748    3.973133      0.0000     24.850000   1.5394139E+03
  20.626864    0.233170    3.974141      0.0000     24.850000   1.5236370E+03
  20.689884    0.231628    3.975133      0.0000     24.850000   1.5030570E+03
  20.759205    0.230136    3.976102      0.0000     24.850000   1.4774070E+03
  20.835459    0.228706    3.977043      0.0000     24.850000   1.4464874E+03
  20.919338    0.227349    3.977951      0.0000     24.850000   1.4101792E+03
  21.011605    0.226077    3.978819      0.0000     24.850000   1.3684656E+03
  21.113099    0.224897    3.979640      0.0000     24.850000   1.3214445E+03
  21.224743    0.223814    3.980408      0.0000     24.850000   1.2693439E+03
  21.347550    0.222831    3.981119      0.0000     24.850000   1.2125230E+03
  21.482639    0.221947    3.981767      0.0000     24.850000   1.1514704E+03
  21.631236    0.221161    3.982350      0.0000     24.850000   1.0867850E+03
  21.794693    0.220468    3.982868      0.0000     24.850000   1.0191535E+03
  21.974495    0.219861    3.983321      0.0000     24.850000   9.4931640E+02
  22.172278    0.219333    3.983713      0.0000     24.850000   8.7803689E+02
  22.389839    0.218877    3.984047      0.0000     24.850000   8.0606958E+02
  22.629157    0.218485    3.984329      0.0000     24.850000   7.3414229E+02
  22.892406    0.218149    3.984565      0.0000     24.850000   6.6294410E+02
  23.181979    0.217862    3.984762      0.0000     24.850000   5.9312793E+02
  23.500511    0.217617    3.984927      0.0000     24.850000   5.2531555E+02
  23.850895    0.217409    3.985066      0.0000     24.850000   4.6010752E+02
  24.236318    0.217233    3.985185      0.0000     24.850000   3.9808509E+02
